bucket,listId,status,lastGeneratedAt,rowId,displayName,unit,stored,sourceSum,expected,delta,nSources,oldCeilExplains
POST_ROOT_B,65345fd0-7b9b-4e95-92c9-87c750a4fcac,active,2026-08-24T22:21:11.903Z,dfb57e05-1a17-467a-a8f5-456bdb3dc237,kosher salt,teaspoon,10.75,7.75,7.75,3,10,false
POST_ROOT_B,65345fd0-7b9b-4e95-92c9-87c750a4fcac,active,2026-08-24T22:21:11.903Z,0510f588-2148-4f78-aa3e-7099dc2f1508,smoked paprika,teaspoon,3.5,0.5,0.5,3,1,false
POST_ROOT_B,22117b24-4157-462c-aec4-28940e9fc9cd,active,2026-08-24T22:41:39.618Z,b4b0e7f5-c217-4b2b-a004-a0f598b492d5,fresh cilantro,cup,3,1.5,1.5,1.5,5,false
POST_ROOT_B,641eb305-9fcd-47da-bc15-2c6fa472aea1,active,2026-08-25T12:09:14.052Z,38ada349-6bc9-4ae9-b280-f280e73fa03d,white onion,large,2,1,1,1,1,false
POST_ROOT_B,22117b24-4157-462c-aec4-28940e9fc9cd,active,2026-08-24T22:41:39.618Z,49f204fc-08c9-4f6d-a98d-e1796b6f31bd,roma tomatoes,each,7,8,8,-1,2,false
POST_ROOT_B,641eb305-9fcd-47da-bc15-2c6fa472aea1,active,2026-08-25T12:09:14.052Z,0003f2b5-a02f-4d9f-aca7-12ec7c6bea5b,roma tomatoes,each,6,5,5,1,2,false
POST_ROOT_B,641eb305-9fcd-47da-bc15-2c6fa472aea1,active,2026-08-25T12:09:14.052Z,3c747745-55cc-458b-8aa4-c1970bf5b69a,Lemon,each,5,4.5,4.5,0.5,4,true
POST_ROOT_B,641eb305-9fcd-47da-bc15-2c6fa472aea1,active,2026-08-25T12:09:14.052Z,e2dac0fe-e339-4985-89dc-c7d2b8f83fdc,Red onion,each,2,1.5,1.5,0.5,2,true
POST_ROOT_B,c6ff50af-befa-4352-9e6a-481309fab150,active,2026-08-25T14:05:59.063Z,ef1338fc-6ea0-413e-826a-a0254c7eccd8,Yellow onion,each,1,0.5,0.5,0.5,1,true
POST_ROOT_B,c6ff50af-befa-4352-9e6a-481309fab150,active,2026-08-25T14:05:59.063Z,adba56db-378a-4e8d-86fd-426d9d1cd225,Lemon,each,1,0.5,0.5,0.5,1,true
POST_ROOT_B,d3d7d302-2468-4117-9daa-7241257457d4,active,2026-08-24T22:34:19.435Z,6930851c-3101-4daf-8e6a-382f6b9becfa,fresh cilantro,bunch,1.5,1.25,1.25,0.25,3,false
