ingredientId,ingredientName,decision,fdcId,usdaDescription,dataType,cal100g,protein100g,carbs100g,fat100g,aiReason,candidateCount
edeffc3b-ec52-463c-80e0-c996aedce9e5,unsalted butter,AI_PICK,173430,"Butter, without salt",SR Legacy,717,0.85,0.06,81.11,D-WS9-050 P3 curation (ratified),1
7835b896-5d7f-44fe-82e9-d3e0d247b77f,garlic cloves,AI_PICK,169230,"Garlic, raw",SR Legacy,149,6.36,33.06,0.5,D-WS9-050 P3 curation (ratified),1
b3555040-b8ad-4291-8c1b-4f1f982d55be,extra-virgin olive oil,AI_PICK,171413,"Oil, olive, salad or cooking",SR Legacy,884,0,0,100,D-WS9-050 P3 curation (ratified),1
607d7bb1-8306-4371-9d86-364566f0d5ff,dijon mustard,AI_PICK,172234,"Mustard, prepared, yellow",SR Legacy,60,3.74,5.83,3.34,D-WS9-050 P3 curation (ratified),1
602378e3-ba36-4fce-9b40-d7388e05857b,neutral oil,AI_PICK,172336,"Oil, canola",SR Legacy,884,0,0,100,D-WS9-050 P3 curation (ratified),1
ef8cc2b5-6b0a-4e35-aead-b5171bb3df0a,red bell pepper,AI_PICK,170108,"Peppers, sweet, red, raw",SR Legacy,26,0.99,6.03,0.3,D-WS9-050 P3 curation (ratified),1
b119c2f1-adf0-4d1f-965e-c3adc4c03295,jalapeño,AI_PICK,168576,"Peppers, jalapeno, raw",SR Legacy,29,0.91,6.5,0.37,D-WS9-050 P3 curation (ratified),1
e4cb225c-b61d-4832-a74a-6fc248e0940e,cherry tomatoes,AI_PICK,170457,"Tomatoes, red, ripe, raw, year round average",SR Legacy,18,0.88,3.89,0.2,D-WS9-050 P3 curation (ratified),1
75d6f416-3a19-442f-b293-98af005ec9cf,broccoli florets,AI_PICK,169330,"Broccoli, flower clusters, raw",SR Legacy,28,2.98,5.06,0.35,D-WS9-050 P3 curation (ratified),1
dd5bac34-6412-47d9-902e-357cb61cdf9e,basmati rice,AI_PICK,168877,"Rice, white, long-grain, regular, raw, enriched",SR Legacy,365,7.13,79.95,0.66,D-WS9-050 P3 curation (ratified),1
ee0e193d-4a2d-40c4-95d1-cff2a4435000,romaine lettuce hearts,AI_PICK,169247,"Lettuce, cos or romaine, raw",SR Legacy,17,1.23,3.29,0.3,D-WS9-050 P3 curation (ratified),1
9afe5db6-2869-4cd3-8650-3604f97b5b29,yukon gold potatoes,AI_PICK,170026,"Potatoes, flesh and skin, raw",SR Legacy,77,2.05,17.49,0.09,D-WS9-050 P3 curation (ratified),1
