rank,ingredientId,canonicalName,category,volUses,unitsSeen,fdcId,usdaDescription,source,gramsPerCup,gramsPerEach,cal100g,estKcalContrib,note
1,17823f2b-2375-4ecc-95d9-8acbfa5a8e5b,"long-grain white rice",Pantry,3,"0.75cup 1.5cup",168877,"Rice, white, long-grain, regular, raw, enriched",CURATED_PROPOSED,185,,365,2026,"dry grain"
2,64c65100-d625-4c27-b555-c20115f72db9,"mayonnaise",Pantry,5,"2tablespoon 3tablespoon 0.33cup",171009,"Salad dressing, mayonnaise, regular",CURATED_PROPOSED,220,,680,1429,"condiment"
3,c1132c30-ddf3-49a1-aacc-9632e1f224c5,"quinoa",Pantry,2,"1cup",168874,"Quinoa, uncooked",CURATED_PROPOSED,170,,368,1251,"dry grain"
4,7a30edab-2b3d-4204-86a7-f98b3f9f2ff9,"wild rice",Pantry,1,"1cup",169726,"Wild rice, raw",CURATED_PROPOSED,185,,357,660,"dry grain"
5,89b3a00c-d586-4658-a08e-0354fc9ac5eb,"orzo",Pantry,1,"0.75cup",169736,"Pasta, dry, enriched",CURATED_PROPOSED,200,,371,557,"dry pasta"
6,a4a4313e-9c2c-4312-88cf-d6d4afbaa90f,"shredded whole-milk mozzarella",Dairy,1,"1.5cup",170845,"Cheese, mozzarella, whole milk",CURATED_PROPOSED,113,,299,507,"shredded cheese"
7,73d4f868-c209-4918-b54b-3a11441c46c3,"shredded sharp cheddar cheese",Dairy,1,"1cup",170899,"Cheese, cheddar, sharp, sliced",CURATED_PROPOSED,113,,410,463,"shredded cheese"
8,22331d2c-7ed5-46cc-b32c-2fb35d76b13d,"italian-seasoned breadcrumbs",Pantry,1,"1cup",172806,"Bread, crumbs, dry, grated, seasoned",CURATED_PROPOSED,108,,383,414,"dry breadcrumb"
9,8c3bcce7-36c0-449e-89bb-57f62f5e2802,"yellow cornmeal",Pantry,1,"0.5cup",168039,"Cornmeal, yellow (Navajo)",CURATED_PROPOSED,157,,384,301,"dry meal"
10,7e3ac570-a911-47cb-8e74-deba619258e5,"low-sodium chicken broth",Canned,3,"2.75cup 0.75cup 8cup",171609,"Soup, chicken broth, low sodium, canned",NO_PROPOSAL,,,16,276,"low-impact / model sizes OK"
11,c2f5b970-8511-4145-9b7b-7a84ec5d3675,"buttermilk",Dairy,3,"0.33cup 2cup 0.25cup",172225,"Milk, buttermilk, fluid, whole",NO_PROPOSAL,,,62,240,"low-impact / model sizes OK"
12,3a2709d9-52c2-4a2b-aca3-8b1ab3b9a37f,"dry breadcrumbs",Pantry,1,"0.5cup",174928,"Bread, crumbs, dry, grated, plain",CURATED_PROPOSED,108,,395,213,"dry breadcrumb"
13,019aac74-201a-4b00-9ed1-18180dacc1b6,"sesame seeds",Pantry,2,"2tbsp",170150,"Seeds, sesame seeds, whole, dried",CURATED_PROPOSED,144,,573,206,"seeds"
14,8a1ea1fd-01a7-4fbd-84a5-f538387cbab6,"sliced almonds",Pantry,3,"2tablespoon",170567,"Nuts, almonds",CURATED_PROPOSED,92,,579,200,"nuts"
15,8f62b9df-4fcc-417c-982c-0b8d64397d1d,"pumpkin seeds",Pantry,1,"0.25cup",170556,"Seeds, pumpkin and squash seed kernels, dried",CURATED_PROPOSED,129,,559,180,"seeds"
16,e10a8ae0-cc5c-4fac-8fbf-0b92aa9b9a51,"cotija cheese",Dairy,1,"0.33cup",170898,"Cheese, mexican, queso cotija",CURATED_PROPOSED,120,,366,145,"crumbled cheese"
17,75679482-f7f3-466a-9db5-c552f0fc6969,"ground cumin",Pantry,11,"1teaspoon 0.5teaspoon 1.5teaspoon",170923,"Spices, cumin seed",NO_PROPOSAL,,,375,129,"low-impact / model sizes OK"
18,2e8daed2-3532-4b27-a20a-4f640007bb5e,"dry red wine",Pantry,3,"0.25cup 0.5cup",173190,"Alcoholic beverage, wine, table, red",NO_PROPOSAL,,,85,128,"low-impact / model sizes OK"
19,2aff49c6-46d7-47a2-acee-ca6f6d39614b,"chili powder",Pantry,7,"1.5teaspoon 1teaspoon 2tablespoon 0.5teaspoon",171319,"Spices, chili powder",NO_PROPOSAL,,,282,119,"low-impact / model sizes OK"
20,5239a6f5-25a5-4b8a-a83a-1cddcb4b86af,"black pepper",Pantry,42,"0.25teaspoon 0.5teaspoon 0.125teaspoon 1teaspoon 0.75teaspoon",170931,"Spices, pepper, black",NO_PROPOSAL,,,251,114,"low-impact / model sizes OK"
21,f60a5066-a0e0-46c0-a603-eb1481e6023f,"plain breadcrumbs",Pantry,1,"0.25cup",174928,"Bread, crumbs, dry, grated, plain",CURATED_PROPOSED,108,,395,107,"dry breadcrumb"
22,6c24f73e-e3ef-4393-bf63-0f914da6729e,"panko breadcrumbs",Pantry,2,"3tablespoon 0.33cup",174928,"Bread, crumbs, dry, grated, plain",CURATED_PROPOSED,50,,395,102,"dry breadcrumb"
23,6e4409ac-84d5-4cda-845b-234b219a9194,"smoked paprika",Pantry,16,"0.5teaspoon 1teaspoon 0.75teaspoon 0.25teaspoon 1.5teaspoon",171329,"Spices, paprika",NO_PROPOSAL,,,282,99,"low-impact / model sizes OK"
24,2f911309-d6ae-4ac9-b2fa-2c2ef7112a89,"dried oregano",Pantry,13,"1tbsp 0.5teaspoon 0.25teaspoon 1teaspoon",171328,"Spices, oregano, dried",NO_PROPOSAL,,,265,81,"low-impact / model sizes OK"
25,56b12d21-41cf-47af-8f98-a1af11306ad7,"garlic powder",Pantry,12,"0.5teaspoon 1teaspoon 0.25teaspoon 0.75teaspoon 1.5teaspoon",171325,"Spices, garlic powder",NO_PROPOSAL,,,331,80,"low-impact / model sizes OK"
26,6eb317aa-fc54-44a6-bfae-edc5c12784c5,"white wine",Pantry,1,"0.5cup",174837,"Alcoholic beverage, wine, table, white",NO_PROPOSAL,,,82,62,"low-impact / model sizes OK"
27,e32a229f-4d01-4fc1-9495-49b73d742000,"dry white wine",Pantry,2,"0.25cup",174837,"Alcoholic beverage, wine, table, white",NO_PROPOSAL,,,82,62,"low-impact / model sizes OK"
28,e89f3688-4e92-4918-8391-822fc97bda2c,"ketchup",Pantry,2,"2tablespoon 3tablespoon",747693,"Ketchup, restaurant",NO_PROPOSAL,,,117,55,"low-impact / model sizes OK"
